순번,시장-상점가 구분,인정여부,시장크기,소유형태,시장-상점가명,취급상품,(1) 대표 품목,(2) 대표 품목,(3) 대표 품목,(4) 대표 품목,(5) 대표 품목
1,전통시장,인정시장,4,1,강남시장,2,음식점,판매점,의류업,미용,
2,전통시장,인정시장,4,4,신사상가,2,과일,생선,야채,방앗간,옷집
3,전통시장,인정시장,3,4,영동전통시장,2,떡,기름,반찬,정육,
4,전통시장,인정시장,3,4,청담삼익시장,2,의류,식당,학원,사무실,기타
5,전통시장,인정시장,3,4,고분다리전통시장,2,청과,야채,생선,,
6,전통시장,인정시장,3,4,길동복조리시장,2,농수산물,,,,
7,전통시장,인정시장,4,4,둔촌역전통시장,2,농산물,가공식품,,,
8,전통시장,인정시장,4,4,명일전통시장,2,농축수산물,,,,
9,전통시장,인정시장,4,1,성내전통시장,2,농산물,,,,
10,전통시장,인정시장,3,4,암사종합시장,2,정육,생선,야채,과일,떡류
11,전통시장,인정시장,4,1,강북북부시장,2,떡,채소,꽈배기,김밥,
12,전통시장,인정시장,4,4,강북종합전통시장,2,정육,떡,청과/야채,공산품,
13,전통시장,인정시장,4,1,동북시장,2,대형마트,화원,병원,,
14,전통시장,미인정시장,4,1,방천골목시장,2,생선,야채,정육,의류,식당
15,전통시장,미인정시장,4,2,번동북부골목시장,2,순대국,왕족발,,,
16,전통시장,미인정시장,4,4,솔샘시장,2,농산물,식당,과일,꽃,
17,전통시장,인정시장,4,1,수유북부시장,2,야채,정육,,,
18,전통시장,인정시장,4,1,수유시장,2,이불,가방,화장품,그릇,
19,전통시장,인정시장,3,4,수유재래시장,2,정육,생선,식당,반찬,의류잡화
20,전통시장,인정시장,4,1,수유전통시장(수유골목시장),2,정육,견과류,전집,청과야채,생선류
21,전통시장,미인정시장,4,4,수유중앙골목시장,2,야채,생선,정육,떡집,계란
22,전통시장,인정시장,4,1,수유중앙시장,2,슈퍼/잡화,야채/과일,정육,떡,문구
23,전통시장,인정시장,3,1,수유프라자,2,잡화,의류,가구,사무실,
24,전통시장,미인정시장,4,4,우이골목시장,2,축산물,야채,수산,건어물,음식
25,전통시장,인정시장,4,1,우이시장,2,마트,개인점포,떡집,,
26,전통시장,인정시장,3,4,장미원골목시장,2,떡,과일,정육,야채,"음식,잡화"
27,전통시장,미인정시장,4,4,삼양골목시장,2,과일,치킨,떡볶이,,
28,전통시장,인정시장,3,1,까치산시장,2,야채,축산,수산,과일,반찬
29,전통시장,인정시장,3,1,남부골목시장,1,손칼국수,농산물,축산물,수산물,
30,전통시장,인정시장,4,1,남부화곡시장,2,의류,슈퍼,약국,미용실,
31,전통시장,인정시장,4,1,대원종합시장,2,의류,먹거리,,,
32,전통시장,인정시장,4,1,등마루시장,2,식당,슈퍼마켓,자전거수리,카페,부동산
33,전통시장,인정시장,3,4,방신전통시장,2,과일,야채,정육,생선,건어물
34,전통시장,인정시장,4,1,신월중앙시장,2,식당,마트,부동산,,
35,전통시장,인정시장,4,4,화곡본동시장,2,축산물,수산물,농산물,슈퍼,
36,전통시장,인정시장,4,4,화곡중앙골목시장,2,가공식품,축산업,음식점,,
37,전통시장,미인정시장,4,2,강남골목시장,2,야채,생선/어패류,의류/신발,떡,가정용품
38,전통시장,인정시장,4,4,관악신사시장,2,야채,생선,고기,떡,의류
39,전통시장,인정시장,4,1,관악종합시장,2,귀금속,이불,의류,고기,미용
40,전통시장,미인정시장,4,4,미성동도깨비시장,2,음식점,의류,떡,과일,축산물
41,전통시장,인정시장,4,1,봉일시장,2,가공식품,의류/신발,음식점,축산물,근린생활서비스
42,전통시장,인정시장,4,4,봉천제일종합시장,2,채소,농산물,과일,수산,정육
43,전통시장,인정시장,4,1,봉천중앙시장,2,순대국,족발,철물,핸드폰가게,이불집
44,전통시장,인정시장,4,4,봉천현대시장,2,생활잡화,식품,마트,반찬가게,생선가게
45,전통시장,인정시장,4,1,신림종합시장,2,생활용품,농산물,축산물,음식점,가공식품
46,전통시장,인정시장,4,4,신림현대종합상가,2,음식점,정육점,기타소매,근린생활,
47,전통시장,인정시장,4,1,신신림시장,2,정육점,가공식품,,,
48,전통시장,인정시장,3,4,신원시장,2,신선식품,의류,공산품,농산물,수산물
49,전통시장,인정시장,4,1,우림시장,2,의류,가공식품,음식점,떡집,
50,전통시장,인정시장,4,4,인헌시장,2,정육,야채,과일,음식,반찬
51,전통시장,미인정시장,4,1,중부시장,2,어묵,치킨,야채,떡집,수산물
52,전통시장,인정시장,4,4,펭귄시장,2,과일,생선,정육점,떡집,야채
53,전통시장,미인정시장,4,2,영림시장,2,야채,과일,참기름,수산,식당
54,전통시장,인정시장,3,1,광성시장,2,야채,과일,정육,생선,떡
55,전통시장,인정시장,4,1,노룬산골목시장(인정시장),2,농산물,축산물,수산물,공산품,
56,전통시장,인정시장,4,1,노룬산시장(건물형),2,식품,식당,학원,스포츠센터,
57,전통시장,미인정시장,4,4,면곡시장(골목형)(미인정),2,축산물,농산물,음식점,의류,식당
58,전통시장,인정시장,4,1,신성종합시장(건물형),2,농산물,축산물,가공식품,떡집,
59,전통시장,인정시장,4,4,영동교골목시장,2,농산물,가공식품,축산,음식점,
60,전통시장,인정시장,3,1,자양전통시장,2,농산물,수산물,축산물,가공식품,가정용품
61,전통시장,인정시장,4,1,조양시장(건물형),2,농산물,가공식품,,,
62,전통시장,인정시장,3,4,중곡제일전통시장(중곡제일시장),2,농산물,가공식품,음식점,축산,기타소매업
63,전통시장,인정시장,4,4,화양제일골목시장,2,농산물,가공식품,음식점,일반소매업,축산
64,전통시장,인정시장,4,4,가리봉시장,1,농산물,수산물,식료품,중국식품,음식점
65,전통시장,인정시장,4,1,개봉중앙시장,2,떡방앗간,자매식당(음식점),정육점,돈까스전문점,이마트
66,전통시장,인정시장,4,4,개봉프라자,1,의류,,,,
67,전통시장,인정시장,4,4,고척근린시장,2,농산,수산,축산,식품,의류
68,전통시장,인정시장,3,4,구로시장,2,의류,한복,이불,고춧가루,참기름
69,전통시장,인정시장,3,4,남구로시장,2,정육,과일,야채,의류,잡화
70,전통시장,인정시장,3,4,남문시장,2,정육,생선,야채,과일,건어물
71,전통시장,인정시장,4,4,은행나무시장,2,농산물,축산물,수산물,,
72,전통시장,인정시장,3,4,현대시장,2,농수축산물,공산품,건어물,제조가공식품,의류 등
73,전통시장,인정시장,3,4,공릉동도깨비시장,2,야채,생선,정육,떡 제조,두부
74,전통시장,인정시장,4,4,상계중앙시장,2,정육,청과,채소,공산품,
75,전통시장,인정시장,4,4,방학동도깨비시장,2,정육,수산,야채,청과,가공
76,전통시장,인정시장,4,4,백운시장,2,정육,야채,쌀,슈퍼,건어물
77,전통시장,인정시장,4,1,신도봉시장,2,슈퍼,생선,양곡,그릇,
78,전통시장,인정시장,4,4,창동골목시장,2,정육,청과,야채,반찬,수산
79,전통시장,인정시장,4,4,창동신창시장,2,야채,정육,생선,과일,닭
80,전통시장,인정시장,4,4,경동광성상가,2,야채,생선,견과류,잡화류,
81,전통시장,인정시장,4,4,답십리시장,2,반찬,떡,정육,식당,생선
82,전통시장,인정시장,4,4,답십리현대시장,2,곱창,야채,과일,,
83,전통시장,인정시장,4,1,동부시장,2,의류,댄스교습소,식당,,
84,전통시장,인정시장,4,1,동서시장,1,과일 전품목,,,,
85,전통시장,인정시장,2,4,서울약령시장,1,당귀,녹용,쌍화탕,황기,구기자
86,전통시장,인정시장,4,1,전농로터리시장,2,농산물,축산물,수산물,,
87,전통시장,인정시장,3,4,청량리농수산물시장,1,농산물,수산물,,,
88,전통시장,인정시장,3,4,청량리수산시장,1,자반,해산물,동태,수산물,
89,전통시장,인정시장,4,4,청량리전통시장,2,농축수산물,공산품,일반음식점,가공제조업,
90,전통시장,인정시장,3,4,청량리종합시장,2,과일,야채,,,
91,전통시장,인정시장,3,4,청량리청과물시장,1,수박,참외,토마토,자몽,바나나
92,전통시장,인정시장,4,4,청량종합도매시장(깡통시장),2,음료/커피,식재료,,,
93,전통시장,인정시장,4,3,회기시장,2,음식점,미용실,떡집,쌀가게,
94,전통시장,인정시장,4,4,강남시장,2,식당,,,,
95,전통시장,인정시장,3,4,남성시장,2,야채,과일,정육,속옷,
96,전통시장,인정시장,4,4,남성역골목시장,2,정육점,청과,,,
