순번,지자체,시장-상점가명,보유여부 - 고객지원센터,보유여부 - 유아놀이방(어린이 놀이터),보유여부 - 고객휴게실,보유여부 - 수유센터,보유여부 - 물품보관함,보유여부 - 자전거보관함
1,서울강남구,강남시장,1,2,2,2,2,2
2,서울강남구,신사상가,2,2,2,2,2,2
3,서울강남구,영동전통시장,1,2,1,2,2,2
4,서울강남구,청담삼익시장,1,2,2,2,2,2
5,서울강동구,고분다리전통시장,1,2,2,2,2,2
6,서울강동구,길동복조리시장,1,1,2,1,2,2
7,서울강동구,둔촌역전통시장,1,2,2,2,2,2
8,서울강동구,명일전통시장,1,2,2,2,2,1
9,서울강동구,성내전통시장,1,2,2,2,2,2
10,서울강동구,암사종합시장,1,1,1,2,2,2
11,서울강북구,강북북부시장,1,1,1,2,1,1
12,서울강북구,강북종합전통시장,1,2,1,2,2,1
13,서울강북구,동북시장,1,2,2,2,1,2
14,서울강북구,방천골목시장,1,2,2,2,2,2
15,서울강북구,번동북부골목시장,2,1,2,2,2,1
16,서울강북구,솔샘시장,2,2,2,2,2,1
17,서울강북구,수유북부시장,2,2,2,2,2,2
18,서울강북구,수유시장,1,2,1,2,1,2
19,서울강북구,수유재래시장,1,2,1,2,2,1
20,서울강북구,수유전통시장(수유골목시장),1,2,1,1,1,2
21,서울강북구,수유중앙골목시장,2,2,2,2,2,2
22,서울강북구,수유중앙시장,1,2,2,2,2,2
23,서울강북구,수유프라자,1,2,2,2,2,2
24,서울강북구,우이골목시장,2,2,2,2,2,2
25,서울강북구,우이시장,2,2,2,2,2,2
26,서울강북구,장미원골목시장,2,2,1,2,2,2
27,서울강북구,삼양골목시장,2,2,2,2,2,2
28,서울강서구,까치산시장,1,1,1,1,2,1
29,서울강서구,남부골목시장,1,1,1,2,1,2
30,서울강서구,남부화곡시장,1,2,1,2,1,2
31,서울강서구,대원종합시장,1,2,2,2,2,2
32,서울강서구,등마루시장,2,2,2,2,2,2
33,서울강서구,방신전통시장,1,2,1,1,1,1
34,서울강서구,신월중앙시장,1,2,2,2,2,2
35,서울강서구,화곡본동시장,2,2,1,2,2,2
36,서울강서구,화곡중앙골목시장,1,2,1,1,2,2
37,서울관악구,강남골목시장,2,2,2,2,2,2
38,서울관악구,관악신사시장,1,2,1,2,2,2
39,서울관악구,관악종합시장,2,2,2,2,2,2
40,서울관악구,미성동도깨비시장,2,2,2,2,2,1
41,서울관악구,봉일시장,1,2,2,2,2,1
42,서울관악구,봉천제일종합시장,2,2,2,2,2,2
43,서울관악구,봉천중앙시장,1,2,2,2,2,2
44,서울관악구,봉천현대시장,1,2,2,2,2,2
45,서울관악구,신림종합시장,2,2,2,2,2,2
46,서울관악구,신림현대종합상가,2,2,2,2,2,2
47,서울관악구,신신림시장,2,2,2,2,2,2
48,서울관악구,신원시장,1,1,2,1,2,2
49,서울관악구,우림시장,1,2,1,2,1,2
50,서울관악구,인헌시장,1,2,2,2,2,2
51,서울관악구,중부시장,2,2,2,2,2,2
52,서울관악구,펭귄시장,1,2,2,2,2,2
53,서울관악구,영림시장,2,2,2,2,2,2
54,서울광진구,광성시장,1,2,1,2,1,1
55,서울광진구,노룬산골목시장(인정시장),1,2,2,2,2,2
56,서울광진구,노룬산시장(건물형),2,2,2,2,2,1
57,서울광진구,면곡시장(골목형)(미인정),2,2,2,2,2,2
58,서울광진구,신성종합시장(건물형),2,2,2,2,2,2
59,서울광진구,영동교골목시장,2,2,2,2,2,2
60,서울광진구,자양전통시장,1,1,1,2,1,1
61,서울광진구,조양시장(건물형),2,2,2,2,2,2
62,서울광진구,중곡제일전통시장(중곡제일시장),1,1,1,2,1,1
63,서울광진구,화양제일골목시장,2,2,2,2,2,2
64,서울구로구,가리봉시장,1,2,2,2,2,2
65,서울구로구,개봉중앙시장,1,2,2,2,2,2
66,서울구로구,개봉프라자,1,2,1,2,2,1
67,서울구로구,고척근린시장,1,2,2,2,2,1
68,서울구로구,구로시장,1,2,1,2,2,2
69,서울구로구,남구로시장,1,2,1,2,2,2
70,서울금천구,남문시장,1,2,1,2,2,2
71,서울금천구,은행나무시장,1,2,2,2,2,2
72,서울금천구,현대시장,1,2,1,2,2,2
73,서울노원구,공릉동도깨비시장,1,2,2,2,2,2
74,서울노원구,상계중앙시장,1,2,1,2,2,2
75,서울도봉구,방학동도깨비시장,1,1,1,1,1,1
76,서울도봉구,백운시장,2,2,2,2,2,2
77,서울도봉구,신도봉시장,1,2,2,2,2,2
78,서울도봉구,창동골목시장,1,2,1,2,2,2
79,서울도봉구,창동신창시장,1,1,1,2,2,2
80,서울동대문구,경동광성상가,2,2,2,2,2,2
81,서울동대문구,답십리시장,2,2,2,2,2,2
82,서울동대문구,답십리현대시장,1,2,2,2,2,2
83,서울동대문구,동부시장,1,2,2,2,2,2
84,서울동대문구,동서시장,2,2,2,2,2,2
85,서울동대문구,서울약령시장,1,2,2,2,2,1
86,서울동대문구,전농로터리시장,1,2,1,2,2,2
87,서울동대문구,청량리농수산물시장,2,2,2,2,2,2
88,서울동대문구,청량리수산시장,2,2,2,2,2,2
89,서울동대문구,청량리전통시장,2,2,2,2,2,2
90,서울동대문구,청량리종합시장,1,2,1,2,2,2
91,서울동대문구,청량리청과물시장,1,2,2,2,2,2
92,서울동대문구,청량종합도매시장(깡통시장),1,2,1,2,2,2
93,서울동대문구,회기시장,2,2,2,2,2,2
94,서울동작구,강남시장,2,2,2,2,2,2
95,서울동작구,남성시장,1,2,1,1,2,2
96,서울동작구,남성역골목시장,1,2,2,2,2,2
97,서울동작구,노량진중앙시장,2,2,2,2,2,2
98,서울동작구,만양로 상점가,1,2,1,1,2,2
99,서울동작구,본동인정시장,2,2,2,2,2,2
100,서울동작구,사당시장,1,2,2,2,2,2
101,서울동작구,상도4동 도깨비시장,2,2,2,2,2,2
102,서울동작구,상도전통시장,2,2,2,2,2,2
103,서울동작구,성대시장,1,1,2,2,2,2
104,서울동작구,성대전통시장,2,2,2,2,2,2
105,서울동작구,신대방1동 골목시장,2,2,1,2,2,2
106,서울동작구,영도시장,1,2,2,2,2,1
107,서울동작구,흑석시장,2,2,2,2,2,2
108,서울마포구,공덕시장,2,2,2,2,2,2
109,서울마포구,마포농수산물시장,1,2,2,2,1,1
110,서울마포구,망원동월드컵시장,1,2,1,2,2,2
111,서울마포구,망원시장,1,2,1,2,2,2
112,서울마포구,서교시장,1,2,2,2,2,2
113,서울마포구,아현시장,1,2,1,2,2,2
114,서울마포구,영진시장,2,2,2,2,2,2
115,서울서대문구,백련시장,1,2,2,2,2,2
116,서울서대문구,연희사러가,1,1,2,2,1,1
117,서울서대문구,영천시장,1,2,1,2,2,2
118,서울서대문구,유진상가,1,2,1,2,2,1
119,서울서대문구,인왕시장,1,2,1,2,2,1
120,서울서초구,남부종합시장,1,2,2,2,2,2
121,서울서초구,양재시장,1,2,2,2,2,2
122,서울성동구,금남시장,1,2,1,2,2,2
123,서울성동구,뚝도시장,1,2,2,2,2,2
124,서울성동구,마장축산물시장,1,1,1,2,2,1
125,서울성동구,용답상가시장,2,2,2,2,2,2
126,서울성북구,길음시장,1,2,1,2,2,2
127,서울성북구,돈암시장,1,1,1,1,2,2
128,서울성북구,밤나무골시장,2,2,2,2,2,1
129,서울성북구,석관시장,1,2,2,2,2,1
130,서울성북구,돌곶이시장(구 석관황금시장),1,2,1,2,2,2
131,서울성북구,장위전통시장,1,2,1,2,2,2
132,서울성북구,정릉시장,1,1,1,2,1,1
133,서울성북구,정릉아리랑시장,2,2,2,2,2,1
134,서울송파구,마천시장,2,2,2,2,2,2
135,서울송파구,마천중앙시장,1,2,1,2,1,1
136,서울송파구,방이시장,1,2,1,2,2,2
137,서울송파구,새마을시장,1,2,1,2,2,2
138,서울송파구,석촌시장,1,1,1,1,1,1
139,서울송파구,풍납시장,1,1,1,2,1,1
140,서울양천구,경창시장,1,1,1,1,1,1
141,서울양천구,목2동시장,2,2,2,2,2,2
142,서울양천구,목동깨비시장 (목3동시장),1,2,1,2,1,1
143,서울양천구,목사랑시장 (목4동시장),1,1,1,1,2,2
144,서울양천구,신월1동신영시장,1,2,1,2,1,1
145,서울양천구,신월3동골목시장,2,2,2,2,2,2
146,서울양천구,신월7동골목시장,2,2,2,2,2,2
147,서울양천구,신정1동골목시장,2,2,2,2,2,1
148,서울양천구,신정2동골목시장,1,2,2,2,2,2
149,서울양천구,우성상가시장,1,2,2,2,2,1
150,서울양천구,월정로시장,2,2,2,2,2,2
151,서울영등포구,대림중앙시장,2,2,2,2,2,2
152,서울영등포구,대신시장,2,2,2,2,2,2
153,서울영등포구,동남상가,1,1,2,2,2,2
154,서울영등포구,삼구시장,1,2,2,2,2,2
155,서울영등포구,영신상가,2,2,2,2,2,2
156,서울영등포구,영일시장,1,2,2,2,2,2
157,서울영등포구,영진시장(A동),2,2,2,2,2,2
158,서울용산구,만리시장,2,2,1,2,2,2
159,서울용산구,보광시장,1,2,2,2,2,2
160,서울용산구,신흥시장,2,2,2,2,2,2
161,서울용산구,용산용문전통시장,1,2,1,2,1,2
162,서울용산구,이촌종합시장,1,2,2,2,2,2
163,서울용산구,이태원시장,1,2,2,2,2,2
164,서울용산구,후암시장,1,2,2,2,1,2
165,서울은평구,대림골목시장,2,2,2,2,2,2
166,서울은평구,대림시장,1,1,1,2,2,2
167,서울은평구,대조시장,1,2,1,2,2,2
168,서울은평구,신응암시장,1,2,1,2,2,2
169,서울은평구,연서시장,1,1,1,2,2,1
170,서울은평구,제일시장,1,2,1,2,2,2
171,서울은평구,증산종합시장,2,2,2,2,2,2
172,서울종로구,낙원시장,1,2,1,1,2,1
173,서울종로구,동대문상가A동,2,2,2,2,2,1
174,서울종로구,동대문상가B동,2,2,2,2,2,2
175,서울종로구,동대문상가C동,2,2,2,2,2,2
176,서울종로구,동대문종합시장,1,2,1,1,1,2
177,서울종로구,동대문종합시장D동상가,2,2,2,2,2,1
178,서울종로구,동문시장㈜,2,2,2,2,2,2
179,서울종로구,신설종합시장,1,2,2,2,2,2
180,서울종로구,종로신진시장,1,2,1,1,2,2
181,서울종로구,통인시장,1,2,1,2,1,2
182,서울종로구,한일상가,1,2,2,2,2,2
183,서울종로구,동대문상가D동,2,2,2,2,2,2
184,서울종로구,동대문종합시장 신관(동대문쇼핑타운),1,2,1,2,2,2
185,서울중구,광희패션몰,1,2,1,2,1,2
186,서울중구,남대문시장,1,2,1,1,2,2
187,서울중구,남평화시장,1,2,1,2,2,2
188,서울중구,대림상가,1,2,2,2,2,1
189,서울중구,동평화시장,1,2,2,2,1,2
190,서울중구,동화상가,1,2,1,2,2,2
191,서울중구,방산종합시장,1,2,1,1,2,1
192,서울중구,삼익패션타운,1,1,1,1,2,2
193,서울중구,서울중앙시장,1,2,1,1,2,2
194,서울중구,신중부시장,1,2,1,2,1,2
195,서울중구,신중앙시장,1,2,1,2,2,1
196,서울중구,신평화패션타운,1,2,1,2,2,2
197,서울중구,약수시장,2,2,2,2,2,2
198,서울중구,자유상가,2,2,1,2,2,2
199,서울중구,제일평화시장,1,2,1,1,1,2
200,서울중구,중부시장,1,2,1,2,1,2
201,서울중구,테크노상가,1,2,2,2,2,2
202,서울중구,통일상가,1,2,1,2,2,2
203,서울중구,평화시장,1,2,1,2,1,2
204,서울중구,황학시장,2,2,2,2,2,2
205,서울중랑구,동성타워프라자,1,2,2,2,2,1
206,서울중랑구,동원시장,2,2,2,2,2,2
207,서울중랑구,동원전통종합시장,1,1,1,1,1,2
208,서울중랑구,면목골목시장,1,2,2,2,2,2
209,서울중랑구,면목시장,1,2,2,2,2,1
210,서울중랑구,사가정시장,2,2,2,2,2,2
211,서울중랑구,신아타운,1,1,2,2,2,1
212,서울중랑구,우림골목시장,1,2,2,2,2,1
213,서울중랑구,중랑교종합상가,1,2,2,2,2,1
214,서울중랑구,중랑동부시장(동부골목시장),1,2,1,2,2,1
215,서울중랑구,태능엔터피아,1,2,1,2,1,2
216,부산강서구,덕두시장,2,2,2,2,2,2
