사업명,지원연도,지원기간,광역,기초,시장명,지원금액(단위_백만원)
글로벌명품시장(10곳 선정·지원),2015,‘15~’17,서울,중구,남대문시장,4500
글로벌명품시장(10곳 선정·지원),2015,‘15~’17,부산,중구,부산국제시장,4500
글로벌명품시장(10곳 선정·지원),2015,‘15~’17,대구,중구,대구서문시장,4500
글로벌명품시장(10곳 선정·지원),2015,‘15~’17,전북,전주시,전주남부시장,4500
글로벌명품시장(10곳 선정·지원),2015,‘15~’17,충북,청주시,청주육거리시장·성안길상점가(연합),4500
글로벌명품시장(10곳 선정·지원),2015,‘15~’17,제주,제주시,제주동문시장(연합),4500
글로벌명품시장(10곳 선정·지원),2016,‘16~’18,서울,중구,동대문시장(연합),4500
글로벌명품시장(10곳 선정·지원),2016,‘16~’18,부산,중구,자갈치시장,4500
글로벌명품시장(10곳 선정·지원),2016,‘16~’18,경기,수원시,수원남문시장(연합),4500
글로벌명품시장(10곳 선정·지원),2016,‘16~’18,경북,안동시,안동구시장(연합),4500
지역선도시장(11곳 선정·지원),2016,‘16~’18,서울,강북구,수유마을시장연합,2400
지역선도시장(11곳 선정·지원),2016,‘16~’18,인천,남구,신기시장연합,2400
지역선도시장(11곳 선정·지원),2016,‘16~’18,강원,정선,정선아리랑시장,2400
지역선도시장(11곳 선정·지원),2016,‘16~’18,제주,서귀포,서귀포매일올레시장,2400
지역선도시장(11곳 선정·지원),2017,‘17~’19,부산,북구,정이있는구포시장,2400
지역선도시장(11곳 선정·지원),2017,‘17~’19,광주,서구,양동복개상가(연합),2400
지역선도시장(11곳 선정·지원),2017,‘17~’19,경기,의정부시,의정부제일시장(연합),2400
지역선도시장(11곳 선정·지원),2017,‘17~’19,충북,충주시,충주자유무학시장(연합),2400
지역선도시장(11곳 선정·지원),2017,‘17~’19,충남,공주시,공주산성시장,2400
지역선도시장(11곳 선정·지원),2017,‘17~’19,전북,부안군,부안상설시장,2400
지역선도시장(11곳 선정·지원),2017,‘17~’19,경북,구미시,구미새마을중앙시장(연합),2400
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,서울,성북구,돈암제일시장,1480
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,서울,마포구,아현시장,1480
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,부산,부산진구,골드테마거리,1520
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,부산,금정구,서동·서동향토·서동전통골목시장,1560
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,인천,서구,정서진중앙시장,1520
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,인천,남구,용현시장,1520
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,광주,광산구,송정매일·송정5일·송정역전시장 ,1540
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,울산,중구,울산번개·야음상가시장 ,1560
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,세종,세종시,세종전통시장,1600
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,경기,수원시,수원영동시장,1260
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,경기,부천시,역곡북부시장,1780
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,강원,동해시,북평민속시장,1520
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,강원,양양군,양양전통시장,1520
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,충북,진천군,진천전통시장,1520
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,충남,보령시,보령중앙시장,1700
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,전북,완주군,고산시장,1520
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,전북,부안군,부안상설시장,1620
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,전남,강진군,강진읍시장,1560
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,경북,문경시,가은아자개시장,1420
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,경북,구미시,구미중앙시장,1620
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,경남,남해군,남해전통시장,1160
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,경남,창원시,상남시장,1560
문화관광형시장(누적 184곳 선정·지원),2014,‘14~’16,제주,제주시,제주중앙지하상가,1520
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,서울,구로구,남구로시장,1540
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,서울,중랑구,동부골목시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,서울,중구,중앙시장,1540
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,부산,수영구,수영팔도상가시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,부산,동구,초량전통시장,1800
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,부산,서구,충무동새벽·해안시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,인천,남동구,모래내시장,1480
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,인천,부평구,부평지하도상가,1580
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,대전,중구,은행동상점가,420
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,대전,동구,중앙시장활성화구역,1640
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,경기,파주시,금촌시장연합회,1780
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,경기,오산시,오산오색시장,1640
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,경기,용인시,용인중앙시장,1600
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,강원,평창시,봉평시장,1520
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,강원,원주시,원주중앙시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,강원,정선군,정선고한시장,1520
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,충북,보은군,보은전통시장,1520
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,충북,청주시,청주북부시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,충남,홍성군,광천전통시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,충남,태안군,태안특산물전통시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,전북,전주시,전주모래내시장,1620
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,전북,전주시,전주신중앙시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,전남,순천시,순천아랫장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,전남,구례군,지리산나들이장터,1540
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,전남,화순군,화순읍시장,1580
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,경북,봉화,봉화춘양시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,경북,청송군,청송진보시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,경남,창원시,창원명서시장,1640
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,경남,통영시,통영중앙시장,1680
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,경남,하동군,하동공설시장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,제주,제주시,세화오일장,1560
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,제주,제주시,칠성로상점가,1620
문화관광형시장(누적 184곳 선정·지원),2015,‘15~’17,제주,제주시,한림오일시장,1560
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,서울,중구,신중부시장,1700
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,서울,성동구,마장축산물시장,1620
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,서울,광진구,중곡제일전통시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,부산,동구,부산진시장,1620
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,부산,사상구,르네시떼,1620
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,대구,중구,약령시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,대전,서구,도마큰시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,경기,여주시,중앙로 상점가,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,경기,양평군,양수리시장,1520
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,강원,춘천시,풍물시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,강원,강릉시,"중앙, 성남시장",1480
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,충북,제천시,제천 중앙시장,1560
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,충북,음성군,음성 무극시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,충남,서천시,서천특화시장,1600
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,전북,익산시,매일·중앙·서동시장,1680
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,전북,군산시,신영시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,전남,광양시,광양5일시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,경북,상주시,상주중앙시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,경북,영주시,선비골문화시장,1740
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,경남,함양군,지리산함양시장,1540
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,경남,양산시,양산남부시장상가 양산남부시장,1480
문화관광형시장(누적 184곳 선정·지원),2016,‘16~’18,제주,제주,중앙로상점가,1540
