"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),소계,소계,소계,등록시장,등록시장,등록시장,인정시장,인정시장,인정시장,상점가,상점가,상점가
"행정구역(서울)(1)",행정구역(서울)(2),행정구역(서울)(3),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡),개소,점포수 (개소),판매면적 (㎡)
"서울특별시",소계,소계,315,54991,2222816,127,26335,732479,120,16327,844310,68,12329,646027
"서울특별시",종로구,소계,21,9874,173190,8,6114,89097,6,566,8942,7,3194,75151
"서울특별시",종로구,사직동,1,108,5280,-,-,-,-,-,-,1,108,5280
"서울특별시",종로구,삼청동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,부암동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,평창동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,무악동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,교남동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,가회동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,종로1.2.3.4가동,5,3306,73261,2,862,17683,1,112,1056,2,2332,54522
"서울특별시",종로구,종로5.6가동,9,5350,74061,4,4936,66875,4,382,5686,1,32,1500
"서울특별시",종로구,이화동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,창신1동,3,427,11595,1,175,3226,-,-,-,2,252,8369
"서울특별시",종로구,창신2동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,창신3동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,숭인1동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",종로구,숭인2동,2,611,6793,1,141,1313,-,-,-,1,470,5480
"서울특별시",종로구,청운효자동,1,72,2200,-,-,-,1,72,2200,-,-,-
"서울특별시",종로구,혜화동,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시",중구,소계,40,19514,399216,15,13341,214859,18,4310,72300,7,1863,112057
"서울특별시",중구,소공동,2,203,3985,-,-,-,2,203,3985,-,-,-
"서울특별시",중구,회현동,6,5528,84223,3,5051,71661,3,477,12562,-,-,-
"서울특별시",중구,명동,3,197,4717,-,-,-,2,131,3769,1,66,948
